Código Planta,DESCRIPCIÓN BIMBO,Línea de producción,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,grafica,Gráfica analisis,,,
POR CODIFICAR,CIZALLA ATADORA 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,CIZALLA ATADORA 1,GENERICA,NA,NA,,PAN CHICO 1,CIZALLA,Capturado,Registro equipo,,,
POR CODIFICAR,CIZALLA ATADORA 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,CIZALLA ATADORA 2,GENERICA,NA,NA,,PAN CHICO 1,CIZALLA,Capturado,Registro equipo,,,
POR CODIFICAR,CIZALLA ATADORA 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,CIZALLA ATADORA 3,GENERICA,NA,NA,,PAN CHICO 1,CIZALLA,Capturado,Registro equipo,,,
POR CODIFICAR,CODIFICADOR HITACHI 7,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,CODIFICADOR HITACHI 7,HITACHI,NA,NA,,hitachi,CODIFICADOR,Capturado,Registro equipo,,,
POR CODIFICAR,CODIFICADOR HITACHI 8,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,CODIFICADOR HITACHI 8,HITACHI,NA,NA,,hitachi,CODIFICADOR,Capturado,Registro equipo,,,
POR CODIFICAR,CODIFICADOR HITACHI 9,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,CODIFICADOR HITACHI 9,HITACHI,NA,NA,,hitachi,CODIFICADOR,Capturado,Registro equipo,,,
POR CODIFICAR,DETECTOR DE METALES EXTERNO,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,DETECTOR DE METALES EXTERNO,GENERICA,NA,NA,,,DETECTOR,Capturado,Registro equipo,,,
POR CODIFICAR,EXTRACTOR 1 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,EXTRACTOR 1 ENFRIADOR,GENERICA,NA,NA,,,EXTRACTOR,Capturado,Registro equipo,,,
POR CODIFICAR,EXTRACTOR 2 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,EXTRACTOR 2 ENFRIADOR,GENERICA,NA,NA,,,EXTRACTOR,Capturado,Registro equipo,,,
POR CODIFICAR,EXTRACTOR 3 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,EXTRACTOR 3 ENFRIADOR,GENERICA,NA,NA,,,EXTRACTOR,Capturado,Registro equipo,,,
POR CODIFICAR,EXTRACTOR 4 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,EXTRACTOR 4 ENFRIADOR,GENERICA,NA,NA,,,EXTRACTOR,Capturado,Registro equipo,,,
POR CODIFICAR,EXTRACTOR 5 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,EXTRACTOR 5 ENFRIADOR,GENERICA,NA,NA,,,EXTRACTOR,Capturado,Registro equipo,,,
POR CODIFICAR,GANCHO ATADORA 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,GANCHO ATADORA 1,GENERICA,NA,NA,,PAN CHICO 1,GANCHO,Capturado,Registro equipo,,,
POR CODIFICAR,GANCHO ATADORA 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,GANCHO ATADORA 2,GENERICA,NA,NA,,PAN CHICO 1,GANCHO,Capturado,Registro equipo,,,
POR CODIFICAR,GANCHO ATADORA 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,GANCHO ATADORA 3,GENERICA,NA,NA,,PAN CHICO 1,GANCHO,Capturado,Registro equipo,,,
POR CODIFICAR,JAULA PANADERA,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,JAULA PANADERA,GENERICA,NA,NA,,,JAULA,Capturado,Registro equipo,,,
POR CODIFICAR,LIMPIEZA Y AJUSTE FRENO ENF. B P,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,LIMPIEZA Y AJUSTE FRENO ENF. B P,GENERICA,NA,NA,,,LIMPIEZA,Capturado,Registro equipo,,,
POR CODIFICAR,REBANADORA #1 YOYOS,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,REBANADORA #1 YOYOS,GENERICA,NA,NA,,PAN CHICO 1,REBANADORA,Capturado,Registro equipo,,,
POR CODIFICAR,REBANADORA #2  CINTAS,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,REBANADORA #2  CINTAS,GENERICA,NA,NA,,PAN CHICO 1,REBANADORA,Capturado,Registro equipo,,,
POR CODIFICAR,REBANADORA #3  CINTAS,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,REBANADORA #3  CINTAS,GENERICA,NA,NA,,PAN CHICO 1,REBANADORA,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO 1FVP VENTILACION,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO 1FVP VENTILACION,GENERICA,NA,NA,,,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO ATADORA 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO ATADORA 1,GENERICA,NA,NA,,,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO ATADORA 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO ATADORA 2,GENERICA,NA,NA,,,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO ATADORA 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO ATADORA 3,GENERICA,NA,NA,,,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO CEM1 EMBOLSADORA 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO CEM1 EMBOLSADORA 1,GENERICA,NA,NA,,,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO CEM3 EMBOLSADORA 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO CEM3 EMBOLSADORA 3,GENERICA,NA,NA,,,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO CR1 REBANADORA 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO CR1 REBANADORA 1,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO CR2 REBANADORA 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO CR2 REBANADORA 2,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TABLERO ELECTRICO CR3 REBANADORA 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TABLERO ELECTRICO CR3 REBANADORA 3,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Registro equipo,,,
POR CODIFICAR,TRANSPORTADOR BANDA DE COPAS DESMOLDEADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR BANDA DE COPAS DESMOLDEADOR,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,TRANSPORTADOR PAN P-32A,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR PAN P-32A,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,TRANSPORTADOR PRINCIPAL EMBOLSADORA 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR PRINCIPAL EMBOLSADORA 1,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,TRANSPORTADOR PRINCIPAL EMBOLSADORA 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR PRINCIPAL EMBOLSADORA 2,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,TRANSPORTADOR PRINCIPAL EMBOLSADORA 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR PRINCIPAL EMBOLSADORA 3,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,TRANSPORTADOR PRINCIPAL ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR PRINCIPAL ENFRIADOR,SIES,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,VENTILADOR 1 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,VENTILADOR 1 ENFRIADOR,GENERICA,NA,NA,,PAN CHICO 1,VENTILADOR,Capturado,Registro equipo,,,
POR CODIFICAR,VENTILADOR 2 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,VENTILADOR 2 ENFRIADOR,GENERICA,NA,NA,,PAN CHICO 1,VENTILADOR,Capturado,Registro equipo,,,
POR CODIFICAR,VENTILADOR 3 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,VENTILADOR 3 ENFRIADOR,GENERICA,NA,NA,,PAN CHICO 1,VENTILADOR,Capturado,Registro equipo,,,
POR CODIFICAR,VENTILADOR 4 ENFRIADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,VENTILADOR 4 ENFRIADOR,GENERICA,NA,NA,,PAN CHICO 1,VENTILADOR,Capturado,Registro equipo,,,
POR CODIFICAR ,TRANSPORTADOR BANDA DESMOLDEADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR BANDA DESMOLDEADOR,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR ,TRANSPORTADOR NO 35A  RAMPA NO 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR NO 35A  RAMPA NO 1,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR ,TRANSPORTADOR NO 38A  RAMPA NO 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2071,,Alta,TRANSPORTADOR NO 38A  RAMPA NO 2,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,BANDAS DE FRENOS CAM.VAP.,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,EMPAQUE ,2071,,Alta,BANDAS DE FRENOS CAM.VAP.,GENERICA,NA,NA,,PAN CHICO 1,BANDA,Capturado,Registro equipo,,,
BIM-066911,MEZCLADORA AMASADORA,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-066911,MEZCLADORA DE MASAS #3 PL5 TT,GENERICA,NA,NA,,,MEZCLADORA,Capturado,Equipo c/Código BIM validado fisicamente pendiente de actualizar listado,,,
BIM-067,AFILADOR CINTAS REBANADORA 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067,AFILADOR CINTAS REBANADORA 2,GENERICA,NA,NA,,PAN CHICO 1,AFILADOR,Capturado,Equipo c/Código BIM validados físicamente pendiente de actualizar listado ON,,,
BIM-067163,TRANSPORTADOR MOLDES P-11 RECTO INCLINADO ,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067163,TRANSPORTADOR MOLDES P-11 RECTO INCLINADO ,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM validados físicamente pendiente de actualizar listado ON,,,
BIM-067626,TANQUE FERMENTADOR NO 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067626,TANQUE FERMENTADOR #2 CAP 4626 LTS PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TANQUE,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067629,TANQUE FERMENTADOR NO 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067629,TANQUE FERMENTADOR #1 CAP 4626 LTS PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TANQUE,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067632,TANQUE PESADOR.,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067632,TANQUE ACERO INOX P/PESAR ESPONJA CAP 750 KG PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TANQUE,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067633,INTERCAMBIADOR DE CALOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067633,ENFRIADOR DE PLACAS PL-2 BMM-511 PL2=PN1,GENERICA,NA,NA,no coincide BIM-067633,PAN CHICO 1,INTERCAMBIADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067634,TABLERO ELECTRICO FZA Y CONTROL CEL2 PL-2 PN1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067634,TABLERO ELECTRICO FZA Y CONTROL CEL2 PL-2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067635,TABLERO DE ESPONJA LIQUIDA PL-2 PL2=PN1    1 FEL2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067635,TABLERO DE ESPONJA LIQUIDA PL-2 PL2=PN1    1 FEL2,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067637,TANQUE FERMENTADOR NO 3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067637,TANQUE FERMENTADOR #3 CAP 4626 LTS PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TANQUE,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067660,ENFRIADOR DE PAN BAKER TEMPLEX SER  PL2=PN1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067660,ENFRIADOR DE PAN BAKER TEMPLEX SER  PL2 PN1,BAKER TEMPLEX,NA,NA,,PAN CHICO 1,ENFRIADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067674,TRANSPORTADOR DE  ENTRADA AL HORNO P-16 PL-2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067674,TRANSPORTADOR DE  ENTRADA AL HORNO BANDA SINFIN P16 PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067684,TOLVA DE ALIMENTACION DE MASAS CAPACIDAD 250 KG PL=2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067684,TOLVA DE ALIMENTACION DE MASAS CAPACIDAD 250 KG PL=2,GENERICA,NA,NA,,PAN CHICO 1,TOLVA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067691,TRANSPORTADOR DESVIADOR HORIZONTAL DE MOLDES P26 PL2 PN1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067691,TRANSPORTADOR DESVIADOR HORIZONTAL DE MOLDES P26 PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067696,TRANSPORTADOR CURVO 90° P-30 MAQUINDAL SERIE 97-1004,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067696,TRANSPORTADOR CURVO 90° P30 PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067698,TRANSPORTADOR RECTO MOLDES P-19 MAQUINDAL PL2 ,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067698,TRANSPORTADOR RECTO HORIZONTAL P19  PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067699,TRANSPORTADOR CURVO 90° MAQUINDAL SERIE 97-1002 PL=2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067699,TRANSPORTADOR CURVO 90° ENTRADA MODELADORA 1 P28 PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067701,TRANSPORTADOR CURVO 90° ENTRADA DE MOLDES A ENGRASADORA MAQUINDAL PL=2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067701,TRANSPORTADOR CURVO 90° ENTRADA DE MOLDES A ENGRASADORA,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067708,TRANSPORTADOR CURVO 90° P-14 SERIE 98-0107,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067708,TRANSPORTADOR CURVO 90° SALIDA CAMARA VAPOR P14 PL2 PN1,GENERICA,NA,980107,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067709,TRANSPORTADOR CURVO 90° P-23C MAQUINDAL SERIE 98-0170 PL=2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067709,TRANSPORTADOR CURVO 90° P23C MAQUINDAL SERIE 98-0170 PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067710,TRANSPORTADOR RECTO HORIZONTAL MAQUINDAL P-15 PL=2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067710,TRANSPORTADOR RECTO HORIZONTAL  P15 PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067712,TRANSPORTADOR RECTO P-13 MAQUINDAL SERIE 98-0106,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067712,TRANSPORTADOR RECTO P13A PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067713,TRANSPORTADOR CURVO 90° P-10 MAQUINDAL SERIE 98.0104,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067713,TRANSPORTADOR CURVO 90° P10 PL2 PN1,MAQUINDAL,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067714,TRANSPOTADOR GIRADOR DE MOLDES CURVA P-18,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067714,TRANSPORTADOR GIRADOR DE MOLDES CURVA P18 PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067715,CAMARA DE VAPOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067715,CAMARA DE FERMENTACION TEMPLEX PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,CAMARA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067716,TABLERO ELECTRICO 2IAPL2 ILUMINACION PL2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067716,TABLERO ELECTRICO DESMOLDEADOR Y TRANSPORTADORES MOLDES,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067717,TABLERO ELECTRICO 2FP2 FORMADO,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067717,TABLERO ELECTRICO  2 FP2 FORMADO PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067718,TABLERO CONTROL HORNO APV MOD 970,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067718,TABLERO CONTROL HORNO FCHBP APV MOD 970 PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067719,TABLERO ELECTRICO 4FP2 (ENF TRASN REBANADO Y EMBOLSADO),PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067719,TABLERO ELECTRICO 4FP2 (ENF TRANS REBANADO Y EMBOLSADO) PL2,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-0677698,TRANSPORTADOR NO 19 RECTO INCLINADO,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-0677698,TRANSPORTADOR NO 19 RECTO INCLINADO,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM validados físicamente pendiente de actualizar listado ON,,,
BIM-067776,MODELADORAS DE MASA APV BMM-405 NUM 1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067776,MODELADORA DE MASA #1 APV PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,MODELADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067778,MODELADORAS DE MASA APV BMM-405 NUM 2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067778,MODELADORA DE MASA #2 APV PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,MODELADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067815,TRANSPORTADOR RECTO HORIZONTAL SPANTECH P-42 PL=3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067815,TRANSPORTADOR RECTO HORIZONTAL BANDA SIN FIN P42 PL2 PN1,SPANTECH,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067884,CORTADOR DE MASA  No 2  MCA: APV BAKER REF BMSO-44 PEDIMENTO 3212-0001697 PL=3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067884,CORTADOR DE MASA  #1  MCA: APV BAKER PL2 PN1,BAKEER PERKINS,NA,NA,,PAN CHICO 1,MAQUINA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067885,CORTADOR DE MASA  MCA: APV BAKER REF BMSO-44 PEDIMENTO 3212-0001697 PL=3,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-067885,CORTADOR DE MASA  #2 MCA: APV BAKER PL2 PN1,BAKEER PERKINS,NA,NA,,PAN CHICO 1,CORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068110,DESMOLDEADORA VACIADOR DE MOLDES SA PL1,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068110,DESMOLDEADORA VACIADOR DE MOLDES PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,DESMOLDEADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068395,TABLERO ELECTRICO IFCCVP CAMARA,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068395,TABLERO ELECTRICO IFCCVP CAMARA DE FERMENTACION PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TABLERO ELECTRICO IFCCVP CAMARA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068461,TRANSPORTADOR CURVO DE 90° DOBLE TABLE TOP P-17 PN1=PN2,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068461,TRANSPORTADOR CURVO DE 90° DOBLE TABLE TOP P17 PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068467,TRANSPORTADOR DE TAPAS P-47,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068467,TRANSPORTADOR DE TAPAS P-47,GENERICA,NA,NA,,PAN CHICO 1,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068485,TANQUE PREPARADOR,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068485,TANQUE PREPARADOR #1 CAP 4504 LTS PL2PN1,GENERICA,NA,NA,,PAN CHICO 1,TANQUE,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068495,TABLERO ELECTRICO 4FP1 TAM.ESPECIAL,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068495,TABLERO ELECTRICO IFMD MODELADORAS PL2 PN1,GENERICA,NA,NA,,PAN CHICO 1,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068501,BOMBA MASA AMF BM-A-91,PLANTA 2,PL2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2051,,BIM-068501,BOMBA MASA AMF BM-A-91 PL2 PN1,GENERICA,NA,NA,,BOMBA DE MASA / DO PUMP 1 PAN CHICO 1,BOMBA,Capturado,Equipo c/Código BIM (validados físicamente),,,
